8 85
1 1 24 2 12
1 1 23 2 12
1 1 31 2 23
1 1 12 2 11
1 1 13 2 0
1 1 24 2 12
1 1 23 2 12
1 1 31 2 23
1 1 12 2 11
1 1 13 2 0
1 1 24 2 12
1 1 23 2 12
1 1 31 2 23
1 1 12 2 11
1 1 13 2 0
1 1 24 2 12
1 1 23 2 12
1 1 31 2 23
1 1 12 2 11
1 1 13 2 0
1 3 27 4 15
1 3 27 4 15
1 3 27 4 15
1 3 27 4 15
1 3 27 4 15
1 3 27 5 15
1 3 27 5 15
1 3 27 5 15
1 3 27 5 15
1 3 27 5 15
1 3 27 6 15
1 3 27 6 15
1 3 27 6 15
1 3 27 6 15
1 3 27 6 15
1 3 27 7 15
1 3 27 7 15
1 3 27 7 15
1 3 27 7 15
1 3 27 7 15
1 5 12 6 5
1 5 12 6 5
1 5 12 6 5
1 5 12 6 5
1 5 12 6 5
1 5 12 6 5
1 5 12 6 5
1 5 12 7 5
1 5 12 7 5
1 5 12 7 5
1 5 12 7 5
1 5 12 7 5
1 5 12 7 5
1 5 12 7 5
1 6 23 7 12
1 6 23 7 12
1 6 23 7 12
1 6 23 7 12
1 7 12 6 10
1 7 12 6 10
1 7 12 6 10
1 7 12 6 10
1 4 24 6 11
1 4 24 6 11
1 4 24 7 11
1 4 24 7 11
1 8 15 2 5
1 8 15 2 5
1 8 15 2 5
1 8 15 2 5
1 8 15 2 5
1 8 15 6 5
1 8 15 6 5
1 8 15 6 5
1 8 15 6 5
1 8 15 6 5
1 8 15 7 5
1 8 15 7 5
1 8 15 7 5
1 8 15 7 5
1 8 15 7 5
1 8 15 4 5
1 8 15 4 5
1 8 15 4 5
1 8 15 4 5
